Sampling Technique > Model ↓,Gaussian Naive Bayes,Decision Tree,Random Forest,Logistic Regression,KNN
Simple Random Sampling,71.89542483660131,96.07843137254902,98.69281045751634,79.73856209150327,83.00653594771242
Systematic Sampling,63.39869281045751,92.15686274509804,98.0392156862745,84.31372549019608,81.04575163398692
Stratified Sampling,65.359477124183,99.34640522875817,100.0,84.31372549019608,96.73202614379085
Clustering Sampling,70.58823529411765,98.69281045751634,100.0,77.77777777777779,79.08496732026144
Bootstrap Sampling,74.91749174917489,98.34983498349835,99.6699669966997,93.06930693069307,97.02970297029702
